Layer,Name,GEOID,Longitude,Latitude,SNP_2018-2022,SNQ_2018-2022,TNF_2018-2022,UMP_2018-2022,VET_2018-2022,VHA_2018-2022,UNS_2018-2022,POP_2018-2022
(Indicator name),,,,,"Food stamps (SNAP) (% of households), 2018-2022","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2018-2022","Public assistance income (cash welfare) (% of households), 2018-2022","Unemployment rate (%), 2018-2022","Veterans (% of civilian population 18 and over), 2018-2022","VA Health Care coverage (% of residents), 2018-2022","Uninsured rate (% of residents), 2018-2022","Population (residents), 2018-2022"
(Definition),,,,,"Percent of households receiving Supplemental Nutrition Assistance Program (SNAP) benefits, formerly known as food stamps, over the past 12 months.","Percent of households with income in the past 12 months below the poverty level who did not receive food stamps/SNAP in the past 12 months.","Percent of households reporting public assistance income over the past 12 months. This includes general assistance and Temporary Aid to Needy Families (TANF), or cash public assistance. This excludes Supplemental Security Income (SSI) and noncash benefits such as food stamps.","Percent of residents 16 and older in the civilian labor force who are actively seeking employment.","Percent of the civilian population 18 years and older who are veterans: have served, but are not currently serving, on active duty in the U.S. Armed Forces.","Percent of residents covered by the Veterans Health Administration.","Percent of residents without health insurance (at the time of the survey).","Average population over the time period."
(Citation),,,,,"American Community Survey (Tables B22003, B22005, and S2201)","American Community Survey (Table B22003)","American Community Survey (Table B19057)","American Community Survey (Tables B23025, B23001, and C23002)","American Community Survey (ACS) (Table B21001)","American Community Survey (ACS) (Tables S2704, S2701, and B27010)","American Community Survey (Tables B27001/C27001)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)"
---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,-87.66983010,42.02125530,13.522825150732126,68.35443037974683,8.397932816537468,9.76915356306457,5.313386639153985,1.6973464021037534,15.03705474539804,4284.0
Census tract,Tract 102.01,17031010201,-87.68014840,42.01600770,24.570673712021136,64.79791395045632,6.07661822985469,4.088541666666667,2.94067067927773,1.4146341463414636,10.268292682926829,8210.0
Census tract,Tract 102.02,17031010202,-87.67332560,42.01604760,17.66148814390842,56.50406504065041,3.270645952575633,8.914209115281501,3.622577927548441,1.5069551777434311,19.55177743431221,2865.0
Census tract,Tract 103,17031010300,-87.66653930,42.01594310,10.502133245815555,39.004149377593365,2.559894978667542,4.030655691172296,2.4557095246447997,0.825670857571777,20.66053668605742,6237.0
Census tract,Tract 104,17031010400,-87.65881570,42.00641090,17.54130223517979,87.1875,0.0,3.2,3.028912345112437,1.0060362173038229,9.166107757657054,4473.0
Census tract,Tract 105.01,17031010501,-87.66395830,42.00941190,16.383947041787337,74.11347517730496,9.226313611915597,7.511569953720184,3.962371721778792,1.8655762841809356,7.564528494761053,3913.0
Census tract,Tract 105.02,17031010502,-87.66332730,42.00451730,12.389380530973453,68.51385390428212,5.562579013906448,4.497955474784189,0.0,0.0,11.887290871734663,3407.0
Census tract,Tract 105.03,17031010503,-87.66312620,42.00032070,30.798479087452478,58.7912087912088,11.482889733840304,3.853046594982079,3.1222123104371096,1.034340091021928,3.2685146876292928,2417.0
Census tract,Tract 106,17031010600,-87.66768300,42.00627740,8.596670064559973,53.46534653465347,0.8154943934760449,2.547931382441978,3.255899030546918,0.0,12.995983935742972,6379.0
Census tract,Tract 107.01,17031010701,-87.67862040,42.00914820,6.737367436057393,60.204081632653065,0.0,3.3030553261767133,0.7271468144044322,0.0,17.075208913649025,3590.0
Census tract,Tract 107.02,17031010702,-87.67272570,42.00901990,21.096605744125327,50.80385852090033,3.3942558746736298,9.497859089139745,2.2623138602520045,1.4986376021798364,12.358894511483069,5148.0
Census tract,Tract 201,17031020100,-87.68711690,42.01572100,17.450863609291247,66.29213483146067,10.95890410958904,9.427748044462742,1.1201937632455343,0.2291825821237586,17.621594092182328,3927.0
Census tract,Tract 202,17031020200,-87.69951910,42.01569030,9.200603318250378,79.22077922077922,4.273504273504273,4.605659241420831,3.265479219677693,0.5136748576981813,15.215882271275856,7203.0
Census tract,Tract 203.01,17031020301,-87.70518650,42.00686510,8.984198645598195,69.48051948051948,0.3160270880361174,8.520559559135227,2.7214377406931964,0.5341683551298582,9.025603241849328,5432.0
Census tract,Tract 203.02,17031020302,-87.69496340,42.00854060,3.9170506912442393,83.44827586206897,1.0944700460829493,10.540970564836911,3.480094911679409,1.3193156050298906,5.565862708719852,5201.0
Census tract,Tract 204,17031020400,-87.68591180,42.00848800,14.080287597363691,58.09128630705395,4.493708807669263,6.421267893660532,0.8095952023988006,0.1883682599481987,21.850718153991053,4256.0
Census tract,Tract 205,17031020500,-87.68419820,42.00131290,34.35389464205313,46.386333771353485,3.692030616839262,7.098765432098765,1.8278301886792447,0.3432137285491419,19.84399375975039,6646.0
Census tract,Tract 206.01,17031020601,-87.70180250,42.00087460,29.834791059280857,72.39057239057239,4.081632653061225,6.796487208858343,2.0129032258064514,0.1875213092396863,8.250937606546199,5868.0
Census tract,Tract 206.02,17031020602,-87.69363730,42.00131560,13.607990012484397,66.0919540229885,4.744069912609239,2.4104683195592287,4.390613171839516,0.5620082427875608,14.705882352941178,5343.0
Census tract,Tract 207.01,17031020701,-87.70368970,41.98689150,13.089005235602096,81.73913043478261,5.104712041884817,8.433734939759036,2.939118264520644,0.5790387955993052,5.037637521713955,1728.0
Census tract,Tract 207.02,17031020702,-87.70489390,41.99412560,23.479661699556985,44.79166666666667,1.449859041482078,8.420473307649972,0.6835396268243118,0.0,5.096852300242131,8412.0
Census tract,Tract 208.01,17031020801,-87.69441490,41.98680810,16.50574712643678,43.01470588235294,4.689655172413794,2.609144923792302,0.5121901249743905,0.1669449081803005,17.14524207011686,5990.0
Census tract,Tract 208.02,17031020802,-87.69463060,41.99405920,37.49413420929141,22.54901960784314,14.969497888315344,9.951386903059763,0.5465414175918019,0.0,18.350941662838768,8715.0
Census tract,Tract 209.01,17031020901,-87.68547360,41.99439220,26.99135184342285,11.730205278592376,5.9171597633136095,3.2407407407407405,1.10941918642593,0.22657387926849,23.515131898365432,6179.0
Census tract,Tract 209.02,17031020902,-87.67868410,41.99425850,25.360050093926112,46.02076124567474,4.758922980588603,2.715193529751589,2.9107192835152533,0.9584664536741214,11.57532563283362,4365.0
